File,LCP_1,LCP_2,LCP_3,LCP_4,LCP_5,LCP_6,LCP_7,LCP_8,LCP_9,LCP_10,LCP_11,LCP_12,LCP_13,LCP_14,LCP_15,LCP_16,LCP_17,LCP_18,LCP_19,LCP_20,LCP_21,LCP_22,LCP_23,LCP_24,LCP_25,LCP_26,LCP_27,LCP_28,LCP_29,LCP_30,LCP_31,LCP_32,LCP_33,LCP_34,LCP_35,LCP_36,LCP_37,LCP_38,LCP_39,LCP_40,LCP_41,LCP_42,LCP_43,LCP_44,LCP_45,LCP_46,LCP_47,LCP_48,LCP_49,LCP_50,LCP_51,LCP_52,LCP_53,LCP_54,LCP_55,LCP_56,LCP_57,LCP_58,LCP_59,LCP_60,LCP_61,LCP_62,LCP_63,LCP_64,LCP_65,LCP_66,LCP_67,LCP_68,LCP_69,LCP_70,LCP_71,LCP_72,LCP_73,LCP_74,LCP_75,LCP_76,LCP_77,LCP_78,LCP_79,LCP_80,LCP_81,class
Literal Tibia of Normal_19.jpg,1.09E+00,4.88E-03,3.22E-01,1.12E-01,3.43E-02,1.12E-01,3.22E-01,4.88E-03,824,1.06E+00,5.10E-02,2.16E-01,3.25E-02,1.70E-01,3.25E-02,2.16E-01,5.10E-02,909,1.04E+00,4.40E-02,8.51E-02,6.48E-02,2.10E-01,6.48E-02,8.51E-02,4.40E-02,628,1.02E+00,4.81E-02,1.40E-01,1.00E-01,7.15E-02,1.00E-01,1.40E-01,4.81E-02,657,1.00E+00,2.11E-02,2.45E-01,1.47E-01,3.48E-02,1.47E-01,2.45E-01,2.11E-02,766,9.82E-01,1.66E-02,1.17E-01,6.82E-02,1.93E-01,6.82E-02,1.17E-01,1.66E-02,754,9.62E-01,3.30E-02,1.08E-01,8.83E-02,2.38E-02,8.83E-02,1.08E-01,3.30E-02,818,9.44E-01,4.42E-02,2.62E-01,1.01E-01,4.91E-02,1.01E-01,2.62E-01,4.42E-02,898,9.16E-01,5.89E-02,4.40E-01,3.06E-02,9.95E-03,3.06E-02,4.40E-01,5.89E-02,934,Nor
Literal Tibia of Normal_2.jpg,1.07E+00,4.19E-02,1.91E-01,3.35E-02,1.31E-01,3.35E-02,1.91E-01,4.19E-02,934,1.05E+00,4.66E-02,1.15E-01,4.59E-02,1.57E-01,4.59E-02,1.15E-01,4.66E-02,946,1.03E+00,6.42E-02,5.96E-02,7.95E-02,2.13E-01,7.95E-02,5.96E-02,6.42E-02,551,1.02E+00,1.57E-02,8.29E-02,1.16E-01,8.38E-02,1.16E-01,8.29E-02,1.57E-02,525,1.00E+00,1.16E-02,2.20E-01,7.59E-03,8.47E-02,7.59E-03,2.20E-01,1.16E-02,525,9.86E-01,1.20E-02,5.94E-02,3.77E-02,1.78E-01,3.77E-02,5.94E-02,1.20E-02,520,9.71E-01,2.20E-02,3.64E-02,6.02E-02,1.18E-01,6.02E-02,3.64E-02,2.20E-02,581,9.58E-01,3.10E-02,1.46E-01,5.62E-02,2.07E-01,5.62E-02,1.46E-01,3.10E-02,983,9.31E-01,3.82E-03,2.12E-01,4.05E-02,2.98E-02,4.05E-02,2.12E-01,3.82E-03,1099,Nor
Literal Tibia of Normal_20.jpg,1.07E+00,9.76E-02,3.92E-01,1.94E-01,1.96E-01,1.94E-01,3.92E-01,9.76E-02,759,1.05E+00,6.79E-02,1.94E-01,1.75E-02,3.00E-02,1.75E-02,1.94E-01,6.79E-02,950,1.03E+00,3.35E-02,9.46E-02,6.62E-02,1.24E-01,6.62E-02,9.46E-02,3.35E-02,684,1.02E+00,1.71E-02,1.03E-01,5.85E-02,7.68E-02,5.85E-02,1.03E-01,1.71E-02,674,1.00E+00,3.62E-02,3.04E-01,4.40E-02,1.06E-02,4.40E-02,3.04E-01,3.62E-02,751,9.85E-01,5.68E-03,1.53E-01,6.47E-02,1.70E-02,6.47E-02,1.53E-01,5.68E-03,832,9.71E-01,3.66E-02,1.14E-01,1.19E-01,7.72E-02,1.19E-01,1.14E-01,3.66E-02,813,9.56E-01,6.96E-02,2.62E-01,1.40E-02,2.75E-02,1.40E-02,2.62E-01,6.96E-02,923,9.34E-01,3.59E-02,3.56E-01,1.29E-01,8.41E-02,1.29E-01,3.56E-01,3.59E-02,908,Nor
Literal Tibia of Normal_21.jpg,1.07E+00,6.90E-02,3.87E-01,1.09E-01,2.12E-01,1.09E-01,3.87E-01,6.90E-02,893,1.05E+00,2.99E-02,2.36E-01,6.35E-02,3.29E-02,6.35E-02,2.36E-01,2.99E-02,919,1.03E+00,2.11E-02,1.22E-01,9.52E-02,1.06E-01,9.52E-02,1.22E-01,2.11E-02,692,1.02E+00,2.25E-02,1.21E-01,1.07E-01,9.26E-02,1.07E-01,1.21E-01,2.25E-02,544,1.00E+00,3.51E-02,2.76E-01,5.48E-02,7.69E-02,5.48E-02,2.76E-01,3.51E-02,676,9.86E-01,1.36E-02,1.59E-01,3.16E-02,4.66E-02,3.16E-02,1.59E-01,1.36E-02,641,9.71E-01,3.35E-02,1.56E-01,1.29E-01,1.47E-01,1.29E-01,1.56E-01,3.35E-02,749,9.58E-01,5.59E-02,3.31E-01,4.02E-02,6.82E-02,4.02E-02,3.31E-01,5.59E-02,963,9.35E-01,7.53E-02,5.14E-01,1.94E-01,5.66E-02,1.94E-01,5.14E-01,7.53E-02,1004,Nor
Literal Tibia of Normal_22.jpg,1.09E+00,4.02E-02,4.71E-01,1.31E-01,2.45E-01,1.31E-01,4.71E-01,4.02E-02,831,1.06E+00,1.67E-02,3.08E-01,7.63E-02,1.04E-01,7.63E-02,3.08E-01,1.67E-02,1002,1.05E+00,4.16E-02,1.40E-01,3.93E-02,1.25E-01,3.93E-02,1.40E-01,4.16E-02,682,1.02E+00,2.15E-03,1.79E-01,7.32E-02,8.74E-02,7.32E-02,1.79E-01,2.15E-03,578,1.00E+00,3.14E-02,3.14E-01,4.94E-02,9.55E-02,4.94E-02,3.14E-01,3.14E-02,756,9.77E-01,4.50E-02,1.87E-01,1.39E-01,2.20E-01,1.39E-01,1.87E-01,4.50E-02,647,9.57E-01,7.04E-02,1.76E-01,7.85E-02,1.05E-01,7.85E-02,1.76E-01,7.04E-02,723,9.36E-01,8.66E-02,3.21E-01,1.59E-01,1.52E-01,1.59E-01,3.21E-01,8.66E-02,969,9.08E-01,6.58E-02,4.94E-01,5.58E-02,9.75E-02,5.58E-02,4.94E-01,6.58E-02,966,Nor
Literal Tibia of Normal_23.jpg,1.06E+00,1.76E-02,4.18E-01,8.80E-02,9.03E-03,8.80E-02,4.18E-01,1.76E-02,898,1.04E+00,2.06E-02,2.38E-01,7.27E-02,1.26E-02,7.27E-02,2.38E-01,2.06E-02,948,1.03E+00,3.83E-02,8.53E-02,4.58E-02,8.32E-02,4.58E-02,8.53E-02,3.83E-02,702,1.01E+00,2.79E-02,1.05E-01,2.65E-02,7.54E-02,2.65E-02,1.05E-01,2.79E-02,552,1.00E+00,2.96E-03,2.27E-01,7.43E-02,6.94E-02,7.43E-02,2.27E-01,2.96E-03,619,9.88E-01,1.52E-02,7.23E-02,6.88E-02,9.56E-02,6.88E-02,7.23E-02,1.52E-02,608,9.74E-01,3.23E-02,1.13E-01,2.56E-02,3.12E-02,2.56E-02,1.13E-01,3.23E-02,745,9.61E-01,2.33E-02,2.47E-01,5.20E-02,1.35E-01,5.20E-02,2.47E-01,2.33E-02,1024,9.41E-01,9.88E-03,4.30E-01,1.22E-01,5.79E-02,1.22E-01,4.30E-01,9.88E-03,1034,Nor
Literal Tibia of Normal_24.jpg,1.08E+00,3.49E-02,3.37E-01,1.10E-01,1.98E-01,1.10E-01,3.37E-01,3.49E-02,779,1.06E+00,4.22E-02,1.95E-01,9.01E-02,9.42E-03,9.01E-02,1.95E-01,4.22E-02,894,1.04E+00,3.30E-02,6.78E-02,5.50E-02,1.48E-01,5.50E-02,6.78E-02,3.30E-02,763,1.02E+00,8.44E-03,1.10E-01,8.10E-02,9.15E-02,8.10E-02,1.10E-01,8.44E-03,728,1.00E+00,6.33E-03,2.87E-01,6.83E-02,3.10E-02,6.83E-02,2.87E-01,6.33E-03,849,9.82E-01,8.76E-03,1.85E-01,1.37E-01,2.75E-02,1.37E-01,1.85E-01,8.76E-03,837,9.59E-01,7.22E-02,7.80E-02,9.25E-02,1.82E-01,9.25E-02,7.80E-02,7.22E-02,851,9.41E-01,5.33E-02,2.53E-01,1.22E-01,2.86E-02,1.22E-01,2.53E-01,5.33E-02,880,9.13E-01,6.41E-02,4.35E-01,1.00E-01,9.33E-03,1.00E-01,4.35E-01,6.41E-02,878,Nor
Literal Tibia of Normal_25.jpg,1.07E+00,1.54E-01,2.00E-01,1.46E-02,2.27E-03,1.46E-02,2.00E-01,1.54E-01,755,1.05E+00,4.83E-02,1.35E-01,7.05E-02,1.20E-01,7.05E-02,1.35E-01,4.83E-02,912,1.04E+00,4.27E-02,8.56E-02,9.39E-02,1.69E-01,9.39E-02,8.56E-02,4.27E-02,674,1.02E+00,8.06E-03,1.78E-01,6.55E-02,9.43E-02,6.55E-02,1.78E-01,8.06E-03,660,1.00E+00,1.26E-02,2.25E-01,2.18E-02,4.63E-02,2.18E-02,2.25E-01,1.26E-02,862,9.83E-01,4.63E-02,1.26E-01,1.50E-02,1.45E-01,1.50E-02,1.26E-01,4.63E-02,752,9.67E-01,4.32E-02,7.88E-02,1.52E-01,1.85E-01,1.52E-01,7.88E-02,4.32E-02,764,9.51E-01,1.00E-02,1.82E-01,1.10E-01,2.02E-01,1.10E-01,1.82E-01,1.00E-02,925,9.31E-01,6.40E-02,3.25E-01,2.08E-01,1.24E-03,2.08E-01,3.25E-01,6.40E-02,948,Nor
Literal Tibia of Normal_26.jpg,1.10E+00,3.80E-02,3.21E-01,4.75E-02,1.01E-01,4.75E-02,3.21E-01,3.80E-02,919,1.06E+00,6.40E-02,2.17E-01,9.76E-02,2.36E-01,9.76E-02,2.17E-01,6.40E-02,888,1.04E+00,4.99E-02,8.22E-02,5.89E-02,1.09E-01,5.89E-02,8.22E-02,4.99E-02,723,1.02E+00,4.49E-03,5.66E-02,8.96E-02,6.60E-02,8.96E-02,5.66E-02,4.49E-03,505,1.00E+00,9.60E-03,2.58E-01,1.03E-01,8.90E-02,1.03E-01,2.58E-01,9.60E-03,652,9.81E-01,8.59E-03,4.17E-02,9.23E-02,4.85E-02,9.23E-02,4.17E-02,8.59E-03,644,9.59E-01,1.93E-02,7.39E-02,3.18E-02,1.94E-01,3.18E-02,7.39E-02,1.93E-02,736,9.38E-01,2.95E-02,2.23E-01,9.69E-02,6.20E-02,9.69E-02,2.23E-01,2.95E-02,1005,9.07E-01,6.54E-02,4.00E-01,4.97E-02,1.59E-02,4.97E-02,4.00E-01,6.54E-02,1010,Nor
Literal Tibia of Normal_27.jpg,1.05E+00,7.32E-02,2.49E-01,6.70E-02,4.04E-01,6.70E-02,2.49E-01,7.32E-02,884,1.04E+00,2.47E-02,1.81E-01,4.07E-02,3.67E-02,4.07E-02,1.81E-01,2.47E-02,928,1.02E+00,8.12E-03,8.46E-02,7.04E-02,1.48E-01,7.04E-02,8.46E-02,8.12E-03,668,1.01E+00,3.31E-02,6.92E-02,4.95E-02,1.06E-01,4.95E-02,6.92E-02,3.31E-02,575,1.00E+00,7.26E-03,1.53E-01,7.45E-02,1.18E-01,7.45E-02,1.53E-01,7.26E-03,516,9.90E-01,1.25E-02,1.13E-01,5.82E-02,1.06E-02,5.82E-02,1.13E-01,1.25E-02,526,9.78E-01,2.63E-02,6.72E-02,8.26E-02,8.41E-02,8.26E-02,6.72E-02,2.63E-02,750,9.67E-01,2.86E-02,1.77E-01,5.95E-02,2.51E-02,5.95E-02,1.77E-01,2.86E-02,962,9.49E-01,3.11E-03,2.79E-01,3.02E-02,7.73E-03,3.02E-02,2.79E-01,3.11E-03,1119,Nor
