File,LCP_1,LCP_2,LCP_3,LCP_4,LCP_5,LCP_6,LCP_7,LCP_8,LCP_9,LCP_10,LCP_11,LCP_12,LCP_13,LCP_14,LCP_15,LCP_16,LCP_17,LCP_18,LCP_19,LCP_20,LCP_21,LCP_22,LCP_23,LCP_24,LCP_25,LCP_26,LCP_27,LCP_28,LCP_29,LCP_30,LCP_31,LCP_32,LCP_33,LCP_34,LCP_35,LCP_36,LCP_37,LCP_38,LCP_39,LCP_40,LCP_41,LCP_42,LCP_43,LCP_44,LCP_45,LCP_46,LCP_47,LCP_48,LCP_49,LCP_50,LCP_51,LCP_52,LCP_53,LCP_54,LCP_55,LCP_56,LCP_57,LCP_58,LCP_59,LCP_60,LCP_61,LCP_62,LCP_63,LCP_64,LCP_65,LCP_66,LCP_67,LCP_68,LCP_69,LCP_70,LCP_71,LCP_72,LCP_73,LCP_74,LCP_75,LCP_76,LCP_77,LCP_78,LCP_79,LCP_80,LCP_81,class
Medial Tibia of Normal_19.jpg,1.08E+00,1.61E-02,4.63E-01,1.11E-01,2.04E-01,1.11E-01,4.63E-01,1.61E-02,797,1.05E+00,5.20E-02,3.61E-01,8.21E-02,3.49E-02,8.21E-02,3.61E-01,5.20E-02,902,1.04E+00,2.47E-02,1.79E-01,4.48E-02,1.64E-01,4.48E-02,1.79E-01,2.47E-02,679,1.02E+00,9.03E-03,1.56E-01,1.24E-01,7.80E-02,1.24E-01,1.56E-01,9.03E-03,657,1.00E+00,1.88E-02,4.25E-01,3.40E-03,1.93E-02,3.40E-03,4.25E-01,1.88E-02,800,9.81E-01,6.12E-03,2.34E-01,2.98E-02,1.77E-01,2.98E-02,2.34E-01,6.12E-03,742,9.66E-01,2.24E-02,2.23E-01,5.81E-02,8.49E-03,5.81E-02,2.23E-01,2.24E-02,764,9.50E-01,1.03E-02,4.44E-01,6.05E-02,4.01E-02,6.05E-02,4.44E-01,1.03E-02,938,9.28E-01,1.42E-02,6.57E-01,4.16E-02,5.43E-02,4.16E-02,6.57E-01,1.42E-02,907,Nor
Medial Tibia of Normal_2.jpg,1.06E+00,8.82E-03,2.68E-01,2.58E-01,1.68E-02,2.58E-01,2.68E-01,8.82E-03,915,1.04E+00,3.62E-02,9.60E-02,4.94E-02,2.79E-01,4.94E-02,9.60E-02,3.62E-02,993,1.02E+00,5.22E-02,1.08E-01,1.07E-01,1.96E-01,1.07E-01,1.08E-01,5.22E-02,585,1.01E+00,1.52E-02,1.48E-01,2.40E-02,4.07E-02,2.40E-02,1.48E-01,1.52E-02,485,1.00E+00,2.20E-02,1.61E-01,4.28E-02,8.11E-02,4.28E-02,1.61E-01,2.20E-02,490,9.90E-01,1.98E-02,1.07E-01,6.35E-02,9.28E-02,6.35E-02,1.07E-01,1.98E-02,526,9.78E-01,2.07E-02,5.18E-02,1.04E-01,1.74E-02,1.04E-01,5.18E-02,2.07E-02,620,9.65E-01,1.66E-02,1.00E-01,1.89E-02,1.78E-01,1.89E-02,1.00E-01,1.66E-02,1018,9.46E-01,2.86E-02,2.64E-01,2.08E-01,3.25E-01,2.08E-01,2.64E-01,2.86E-02,1126,Nor
Medial Tibia of Normal_20.jpg,1.07E+00,1.72E-01,3.75E-01,9.89E-02,4.27E-01,9.89E-02,3.75E-01,1.72E-01,795,1.05E+00,2.51E-02,2.51E-01,8.85E-02,2.92E-01,8.85E-02,2.51E-01,2.51E-02,929,1.03E+00,2.40E-02,1.36E-01,4.60E-02,1.37E-01,4.60E-02,1.36E-01,2.40E-02,695,1.02E+00,3.12E-02,1.04E-01,1.77E-01,1.10E-02,1.77E-01,1.04E-01,3.12E-02,654,1.00E+00,3.05E-02,2.25E-01,7.40E-02,3.28E-01,7.40E-02,2.25E-01,3.05E-02,854,9.82E-01,3.09E-02,1.49E-01,6.70E-02,1.37E-01,6.70E-02,1.49E-01,3.09E-02,706,9.68E-01,5.24E-02,1.16E-01,1.04E-01,5.52E-02,1.04E-01,1.16E-01,5.24E-02,738,9.55E-01,8.55E-02,3.31E-01,5.33E-02,2.49E-01,5.33E-02,3.31E-01,8.55E-02,960,9.37E-01,2.13E-02,5.63E-01,1.11E-01,9.38E-02,1.11E-01,5.63E-01,2.13E-02,922,Nor
Medial Tibia of Normal_21.jpg,1.07E+00,8.07E-02,3.95E-01,1.03E-02,2.37E-01,1.03E-02,3.95E-01,8.07E-02,826,1.05E+00,3.32E-02,3.37E-01,6.88E-02,9.16E-02,6.88E-02,3.37E-01,3.32E-02,979,1.04E+00,3.48E-02,1.27E-01,2.59E-02,6.41E-02,2.59E-02,1.27E-01,3.48E-02,671,1.02E+00,1.05E-02,1.68E-01,1.37E-01,1.14E-01,1.37E-01,1.68E-01,1.05E-02,598,1.00E+00,2.49E-02,3.02E-01,4.55E-02,1.78E-02,4.55E-02,3.02E-01,2.49E-02,734,9.85E-01,2.58E-02,1.36E-01,1.33E-01,7.19E-02,1.33E-01,1.36E-01,2.58E-02,686,9.67E-01,3.46E-02,1.67E-01,2.48E-02,7.29E-02,2.48E-02,1.67E-01,3.46E-02,779,9.53E-01,1.03E-01,3.29E-01,4.06E-02,1.23E-01,4.06E-02,3.29E-01,1.03E-01,935,9.27E-01,5.72E-02,4.32E-01,2.29E-02,8.56E-02,2.29E-02,4.32E-01,5.72E-02,950,Nor
Medial Tibia of Normal_22.jpg,1.09E+00,7.99E-03,4.13E-01,9.76E-02,7.30E-02,9.76E-02,4.13E-01,7.99E-03,825,1.06E+00,1.90E-02,2.51E-01,1.81E-02,5.36E-02,1.81E-02,2.51E-01,1.90E-02,915,1.05E+00,5.25E-02,1.71E-01,5.06E-02,1.74E-01,5.06E-02,1.71E-01,5.25E-02,672,1.03E+00,2.10E-02,1.66E-01,1.02E-01,1.04E-01,1.02E-01,1.66E-01,2.10E-02,617,1.00E+00,7.56E-03,3.57E-01,7.38E-02,2.72E-02,7.38E-02,3.57E-01,7.56E-03,754,9.78E-01,2.81E-02,6.88E-02,1.25E-01,1.52E-01,1.25E-01,6.88E-02,2.81E-02,705,9.56E-01,3.23E-02,1.50E-01,1.05E-01,3.43E-02,1.05E-01,1.50E-01,3.23E-02,801,9.38E-01,1.35E-02,2.93E-01,1.07E-01,7.80E-03,1.07E-01,2.93E-01,1.35E-02,930,9.11E-01,2.87E-02,4.94E-01,1.32E-01,1.23E-01,1.32E-01,4.94E-01,2.87E-02,968,Nor
Medial Tibia of Normal_23.jpg,1.06E+00,7.19E-02,5.95E-01,1.82E-01,2.80E-01,1.82E-01,5.95E-01,7.19E-02,844,1.04E+00,2.71E-02,4.14E-01,1.03E-01,3.52E-03,1.03E-01,4.14E-01,2.71E-02,945,1.03E+00,3.69E-02,1.44E-01,8.60E-02,5.69E-02,8.60E-02,1.44E-01,3.69E-02,596,1.02E+00,2.67E-02,1.71E-01,3.66E-02,7.17E-02,3.66E-02,1.71E-01,2.67E-02,600,1.00E+00,1.85E-02,3.65E-01,7.53E-02,9.75E-02,7.53E-02,3.65E-01,1.85E-02,810,9.87E-01,2.84E-02,1.81E-01,2.31E-02,1.49E-02,2.31E-02,1.81E-01,2.84E-02,649,9.72E-01,1.91E-02,1.99E-01,4.86E-02,8.15E-02,4.86E-02,1.99E-01,1.91E-02,720,9.62E-01,2.21E-02,3.84E-01,8.00E-02,1.78E-01,8.00E-02,3.84E-01,2.21E-02,962,9.43E-01,4.82E-02,5.87E-01,1.24E-01,2.25E-01,1.24E-01,5.87E-01,4.82E-02,997,Nor
Medial Tibia of Normal_24.jpg,1.10E+00,7.59E-02,5.52E-01,8.56E-02,3.71E-01,8.56E-02,5.52E-01,7.59E-02,773,1.07E+00,2.35E-02,4.08E-01,8.82E-02,2.03E-01,8.82E-02,4.08E-01,2.35E-02,929,1.05E+00,4.93E-02,2.21E-01,6.57E-02,4.79E-01,6.57E-02,2.21E-01,4.93E-02,695,1.03E+00,8.00E-03,1.94E-01,1.02E-01,1.60E-01,1.02E-01,1.94E-01,8.00E-03,687,1.00E+00,1.64E-02,4.65E-01,1.44E-02,1.65E-01,1.44E-02,4.65E-01,1.64E-02,1021,9.70E-01,3.04E-02,2.55E-01,5.60E-02,2.55E-02,5.60E-02,2.55E-01,3.04E-02,685,9.52E-01,8.77E-03,2.16E-01,1.58E-01,1.65E-01,1.58E-01,2.16E-01,8.77E-03,749,9.34E-01,1.76E-02,4.65E-01,6.51E-02,1.38E-01,6.51E-02,4.65E-01,1.76E-02,946,9.09E-01,3.49E-02,7.76E-01,4.00E-02,4.47E-01,4.00E-02,7.76E-01,3.49E-02,884,Nor
Medial Tibia of Normal_25.jpg,1.06E+00,6.66E-02,5.03E-01,5.15E-02,2.93E-01,5.15E-02,5.03E-01,6.66E-02,804,1.04E+00,1.33E-02,4.13E-01,3.15E-02,1.39E-01,3.15E-02,4.13E-01,1.33E-02,977,1.03E+00,1.72E-02,1.17E-01,4.45E-02,8.78E-02,4.45E-02,1.17E-01,1.72E-02,636,1.02E+00,3.08E-02,1.33E-01,5.41E-02,1.52E-02,5.41E-02,1.33E-01,3.08E-02,564,1.00E+00,2.51E-02,4.32E-01,1.22E-01,1.06E-01,1.22E-01,4.32E-01,2.51E-02,739,9.86E-01,1.76E-02,1.78E-01,2.25E-02,8.21E-02,2.25E-02,1.78E-01,1.76E-02,652,9.72E-01,1.21E-02,1.61E-01,8.29E-02,1.73E-01,8.29E-02,1.61E-01,1.21E-02,742,9.61E-01,1.46E-02,3.70E-01,1.09E-01,1.50E-01,1.09E-01,3.70E-01,1.46E-02,1016,9.40E-01,7.75E-02,5.67E-01,1.44E-01,3.67E-02,1.44E-01,5.67E-01,7.75E-02,972,Nor
Medial Tibia of Normal_26.jpg,1.09E+00,3.72E-02,3.92E-01,1.01E-01,6.07E-03,1.01E-01,3.92E-01,3.72E-02,862,1.06E+00,5.55E-02,2.89E-01,1.40E-02,1.72E-01,1.40E-02,2.89E-01,5.55E-02,905,1.04E+00,4.56E-02,1.00E-01,8.89E-02,7.64E-02,8.89E-02,1.00E-01,4.56E-02,670,1.02E+00,1.83E-02,1.72E-01,6.70E-02,9.86E-02,6.70E-02,1.72E-01,1.83E-02,619,1.00E+00,1.65E-02,2.98E-01,1.04E-01,1.16E-01,1.04E-01,2.98E-01,1.65E-02,717,9.80E-01,1.19E-02,1.17E-01,8.82E-02,1.05E-01,8.82E-02,1.17E-01,1.19E-02,644,9.59E-01,1.94E-02,1.15E-01,9.92E-02,2.00E-01,9.92E-02,1.15E-01,1.94E-02,735,9.40E-01,6.93E-03,2.47E-01,8.70E-02,3.51E-02,8.70E-02,2.47E-01,6.93E-03,933,9.12E-01,2.77E-02,4.97E-01,6.25E-02,1.16E-01,6.25E-02,4.97E-01,2.77E-02,1009,Nor
Medial Tibia of Normal_27.jpg,1.05E+00,6.31E-02,5.61E-01,1.33E-01,2.88E-01,1.33E-01,5.61E-01,6.31E-02,895,1.04E+00,3.50E-02,2.91E-01,3.18E-02,5.64E-02,3.18E-02,2.91E-01,3.50E-02,961,1.02E+00,3.67E-02,1.55E-01,9.15E-02,1.14E-01,9.15E-02,1.55E-01,3.67E-02,611,1.01E+00,3.12E-03,1.04E-01,4.54E-02,2.39E-01,4.54E-02,1.04E-01,3.12E-03,506,1.00E+00,1.10E-02,3.08E-01,5.63E-02,3.15E-01,5.63E-02,3.08E-01,1.10E-02,699,9.89E-01,2.78E-02,1.40E-01,9.17E-02,6.16E-02,9.17E-02,1.40E-01,2.78E-02,593,9.79E-01,1.12E-02,1.27E-01,3.93E-02,3.89E-01,3.93E-02,1.27E-01,1.12E-02,751,9.67E-01,4.47E-02,3.20E-01,3.33E-02,5.06E-02,3.33E-02,3.20E-01,4.47E-02,1078,9.49E-01,9.53E-02,5.90E-01,3.89E-02,3.59E-01,3.89E-02,5.90E-01,9.53E-02,1020,Nor
