File,Mean1,Variance2,Skewness3,Kurtosis4,Energy5,Entropy6,class
Medial Tibia of Normal_31.jpg,5.10E+00,1.50E+00,-8.27E-02,2.71E+00,2.26E-01,1.62E+00,Nor
Medial Tibia of Normal_32.jpg,4.98E+00,1.25E+00,1.02E-01,2.94E+00,2.52E-01,1.53E+00,Nor
Medial Tibia of Normal_33.jpg,4.56E+00,1.31E+00,2.06E-01,2.98E+00,2.46E-01,1.55E+00,Nor
Medial Tibia of Normal_34.jpg,4.96E+00,1.53E+00,1.59E-01,2.72E+00,2.24E-01,1.62E+00,Nor
Medial Tibia of Normal_35.jpg,4.92E+00,1.50E+00,6.20E-02,2.81E+00,2.28E-01,1.62E+00,Nor
Medial Tibia of Normal_36.jpg,4.58E+00,1.64E+00,5.49E-01,3.38E+00,2.34E-01,1.64E+00,Nor
Medial Tibia of Normal_37.jpg,5.48E+00,1.16E+00,-1.78E-01,3.29E+00,2.67E-01,1.49E+00,Nor
Medial Tibia of Normal_38.jpg,5.22E+00,1.29E+00,-1.10E-01,3.16E+00,2.53E-01,1.54E+00,Nor
Medial Tibia of Normal_39.jpg,5.15E+00,1.52E+00,-9.44E-02,3.10E+00,2.35E-01,1.62E+00,Nor
Medial Tibia of Normal_4.jpg,5.30E+00,1.45E+00,2.58E-02,2.88E+00,2.33E-01,1.60E+00,Nor
Medial Tibia of Normal_40.jpg,4.87E+00,1.34E+00,3.44E-02,2.92E+00,2.43E-01,1.57E+00,Nor
Medial Tibia of Normal_41.jpg,5.09E+00,1.12E+00,-1.91E-01,2.96E+00,2.67E-01,1.47E+00,Nor
Medial Tibia of Normal_42.jpg,4.59E+00,1.34E+00,2.81E-01,3.24E+00,2.50E-01,1.56E+00,Nor
Medial Tibia of Normal_43.jpg,5.07E+00,1.31E+00,4.59E-02,2.76E+00,2.43E-01,1.55E+00,Nor
Medial Tibia of Normal_44.jpg,4.75E+00,1.59E+00,3.65E-01,3.09E+00,2.31E-01,1.63E+00,Nor
Medial Tibia of Normal_45.jpg,5.61E+00,1.21E+00,-3.73E-02,2.96E+00,2.56E-01,1.51E+00,Nor
Medial Tibia of Normal_46.jpg,4.72E+00,1.12E+00,2.52E-02,3.01E+00,2.65E-01,1.48E+00,Nor
Medial Tibia of Normal_47.jpg,4.99E+00,1.35E+00,1.67E-01,3.23E+00,2.51E-01,1.56E+00,Nor
Medial Tibia of Normal_48.jpg,4.94E+00,1.41E+00,1.19E-01,2.75E+00,2.34E-01,1.58E+00,Nor
Medial Tibia of Normal_49.jpg,4.55E+00,2.03E+00,2.83E-01,2.54E+00,1.94E-01,1.75E+00,Nor
Medial Tibia of Normal_5.jpg,4.71E+00,1.46E+00,2.53E-02,2.59E+00,2.27E-01,1.60E+00,Nor
Medial Tibia of Normal_50.jpg,4.80E+00,1.01E+00,3.21E-01,3.50E+00,2.90E-01,1.41E+00,Nor
Medial Tibia of Normal_51.jpg,3.07E+00,4.18E-01,1.00E-01,3.68E+00,4.40E-01,NaN,Nor
Medial Tibia of Normal_52.jpg,5.01E+00,1.36E+00,5.88E-03,2.81E+00,2.39E-01,1.57E+00,Nor
Medial Tibia of Normal_53.jpg,4.64E+00,1.29E+00,9.39E-02,2.86E+00,2.47E-01,1.54E+00,Nor
Medial Tibia of Normal_54.jpg,3.90E+00,8.50E-01,3.35E-01,3.14E+00,3.11E-01,1.33E+00,Nor
Medial Tibia of Normal_55.jpg,4.31E+00,1.13E+00,-7.51E-02,2.95E+00,2.66E-01,1.48E+00,Nor
Medial Tibia of Normal_56.jpg,4.16E+00,1.23E+00,6.41E-02,2.73E+00,2.50E-01,1.52E+00,Nor
Medial Tibia of Normal_57.jpg,4.03E+00,8.66E-01,1.82E-01,3.04E+00,3.04E-01,1.34E+00,Nor
Medial Tibia of Normal_58.jpg,5.32E+00,1.34E+00,-2.47E-01,3.04E+00,2.44E-01,1.56E+00,Nor
